date,new_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_vaccinated,people_fully_vaccinated
29/02/2020,1,0.003,NaN,NaN,NaN
01/03/2020,0,0.003,NaN,NaN,NaN
02/03/2020,5,0.018,NaN,NaN,NaN
03/03/2020,1,0.021,NaN,NaN,NaN
04/03/2020,4,0.033,NaN,NaN,NaN
05/03/2020,1,0.035,NaN,NaN,NaN
06/03/2020,2,0.041,NaN,NaN,NaN
07/03/2020,3,0.05,NaN,NaN,NaN
08/03/2020,4,0.062,NaN,NaN,NaN
09/03/2020,1,0.065,NaN,NaN,NaN
10/03/2020,6,0.083,NaN,NaN,NaN
11/03/2020,5,0.098,NaN,NaN,NaN
12/03/2020,10,0.127,NaN,NaN,NaN
13/03/2020,8,0.151,NaN,NaN,NaN
14/03/2020,7,0.171,NaN,NaN,NaN
15/03/2020,12,0.207,NaN,NaN,NaN
16/03/2020,27,0.287,NaN,NaN,NaN
17/03/2020,37,0.396,NaN,NaN,NaN
18/03/2020,60,0.573,NaN,NaN,NaN
19/03/2020,72,0.786,NaN,NaN,NaN
20/03/2020,106,1.1,NaN,NaN,NaN
21/03/2020,103,1.404,NaN,NaN,NaN
22/03/2020,128,1.782,NaN,NaN,NaN
23/03/2020,187,2.335,NaN,NaN,NaN
24/03/2020,243,3.054,NaN,NaN,NaN
25/03/2020,333,4.038,NaN,NaN,NaN
26/03/2020,417,5.271,NaN,NaN,NaN
27/03/2020,522,6.814,NaN,NaN,NaN
28/03/2020,713,8.921,NaN,NaN,NaN
29/03/2020,555,10.562,NaN,NaN,NaN
30/03/2020,707,12.652,NaN,NaN,NaN
31/03/2020,1079,15.841,NaN,NaN,NaN
01/04/2020,1637,20.68,NaN,NaN,NaN
02/04/2020,1549,25.259,NaN,NaN,NaN
03/04/2020,1428,29.481,NaN,NaN,NaN
04/04/2020,1620,34.269,NaN,NaN,NaN
05/04/2020,1623,39.067,NaN,NaN,NaN
06/04/2020,1763,44.279,NaN,NaN,NaN
07/04/2020,2606,51.982,NaN,NaN,NaN
08/04/2020,2152,58.343,NaN,NaN,NaN
09/04/2020,2256,65.012,NaN,NaN,NaN
10/04/2020,2214,71.557,NaN,NaN,NaN
11/04/2020,2104,77.776,NaN,NaN,NaN
12/04/2020,1883,83.343,NaN,NaN,NaN
13/04/2020,2001,89.258,NaN,NaN,NaN
14/04/2020,2481,96.592,NaN,NaN,NaN
15/04/2020,2624,104.348,NaN,NaN,NaN
16/04/2020,2187,110.813,NaN,NaN,NaN
17/04/2020,2104,117.033,NaN,NaN,NaN
18/04/2020,1943,122.776,NaN,NaN,NaN
19/04/2020,1967,128.591,NaN,NaN,NaN
20/04/2020,2286,135.348,NaN,NaN,NaN
21/04/2020,2452,142.597,NaN,NaN,NaN
22/04/2020,2465,149.883,NaN,NaN,NaN
23/04/2020,2428,157.061,NaN,NaN,NaN
24/04/2020,2064,163.162,NaN,NaN,NaN
25/04/2020,1739,168.302,NaN,NaN,NaN
26/04/2020,1415,172.485,NaN,NaN,NaN
27/04/2020,1487,176.881,NaN,NaN,NaN
28/04/2020,2232,183.479,NaN,NaN,NaN
29/04/2020,2374,190.496,NaN,NaN,NaN
30/04/2020,2192,196.976,NaN,NaN,NaN
01/05/2020,1880,202.533,NaN,NaN,NaN
02/05/2020,1743,207.686,NaN,NaN,NaN
03/05/2020,1203,211.242,NaN,NaN,NaN
04/05/2020,1370,215.292,NaN,NaN,NaN
05/05/2020,2179,221.733,NaN,NaN,NaN
06/05/2020,2321,228.594,NaN,NaN,NaN
07/05/2020,1906,234.228,NaN,NaN,NaN
08/05/2020,1769,239.457,NaN,NaN,NaN
09/05/2020,1471,243.806,NaN,NaN,NaN
10/05/2020,1001,246.765,NaN,NaN,NaN
11/05/2020,1026,249.798,NaN,NaN,NaN
12/05/2020,1592,254.504,NaN,NaN,NaN
13/05/2020,1695,259.514,NaN,NaN,NaN
14/05/2020,1769,264.743,NaN,NaN,NaN
15/05/2020,1628,269.556,NaN,NaN,NaN
16/05/2020,1169,273.011,NaN,NaN,NaN
17/05/2020,815,275.421,NaN,NaN,NaN
18/05/2020,1222,279.033,NaN,NaN,NaN
19/05/2020,1428,283.254,NaN,NaN,NaN
20/05/2020,1470,287.6,NaN,NaN,NaN
21/05/2020,1182,291.094,NaN,NaN,NaN
22/05/2020,1204,294.653,NaN,NaN,NaN
23/05/2020,1078,297.839,NaN,NaN,NaN
24/05/2020,639,299.728,NaN,NaN,NaN
25/05/2020,600,301.502,NaN,NaN,NaN
26/05/2020,653,303.432,NaN,NaN,NaN
27/05/2020,1452,307.724,NaN,NaN,NaN
28/05/2020,1066,310.875,NaN,NaN,NaN
29/05/2020,1109,314.154,NaN,NaN,NaN
30/05/2020,948,316.956,NaN,NaN,NaN
31/05/2020,623,318.798,NaN,NaN,NaN
01/06/2020,767,321.065,NaN,NaN,NaN
02/06/2020,971,323.935,NaN,NaN,NaN
03/06/2020,1000,326.891,NaN,NaN,NaN
04/06/2020,998,329.841,NaN,NaN,NaN
05/06/2020,870,332.413,NaN,NaN,NaN
06/06/2020,638,334.299,NaN,NaN,NaN
07/06/2020,460,335.659,NaN,NaN,NaN
08/06/2020,502,337.143,NaN,NaN,NaN
09/06/2020,909,339.83,NaN,NaN,NaN
10/06/2020,858,342.366,NaN,NaN,NaN
11/06/2020,811,344.764,NaN,NaN,NaN
12/06/2020,823,347.196,NaN,NaN,NaN
13/06/2020,706,349.283,NaN,NaN,NaN
14/06/2020,348,350.312,NaN,NaN,NaN
15/06/2020,398,351.489,NaN,NaN,NaN
16/06/2020,776,353.782,NaN,NaN,NaN
17/06/2020,741,355.973,NaN,NaN,NaN
18/06/2020,697,358.033,NaN,NaN,NaN
19/06/2020,631,359.898,NaN,NaN,NaN
20/06/2020,563,361.563,NaN,NaN,NaN
21/06/2020,319,362.506,NaN,NaN,NaN
22/06/2020,379,363.626,NaN,NaN,NaN
23/06/2020,730,365.784,NaN,NaN,NaN
24/06/2020,755,368.016,NaN,NaN,NaN
25/06/2020,551,369.645,NaN,NaN,NaN
26/06/2020,629,371.504,NaN,NaN,NaN
27/06/2020,499,372.979,NaN,NaN,NaN
28/06/2020,323,373.934,NaN,NaN,NaN
29/06/2020,371,375.03,NaN,NaN,NaN
30/06/2020,549,376.653,NaN,NaN,NaN
01/07/2020,702,378.728,NaN,NaN,NaN
02/07/2020,742,380.922,NaN,NaN,NaN
03/07/2020,679,382.929,NaN,NaN,NaN
04/07/2020,307,383.837,NaN,NaN,NaN
05/07/2020,323,384.791,NaN,NaN,NaN
06/07/2020,385,385.929,NaN,NaN,NaN
07/07/2020,1144,389.311,NaN,NaN,NaN
08/07/2020,842,391.8,NaN,NaN,NaN
09/07/2020,1036,394.863,NaN,NaN,NaN
10/07/2020,805,397.242,NaN,NaN,NaN
11/07/2020,753,399.468,NaN,NaN,NaN
12/07/2020,477,400.878,NaN,NaN,NaN
13/07/2020,443,402.188,NaN,NaN,NaN
14/07/2020,895,404.833,NaN,NaN,NaN
15/07/2020,961,407.674,NaN,NaN,NaN
16/07/2020,971,410.544,NaN,NaN,NaN
17/07/2020,923,413.273,NaN,NaN,NaN
18/07/2020,890,415.904,NaN,NaN,NaN
19/07/2020,483,417.331,NaN,NaN,NaN
20/07/2020,531,418.901,NaN,NaN,NaN
21/07/2020,1096,422.141,NaN,NaN,NaN
22/07/2020,1224,425.759,NaN,NaN,NaN
23/07/2020,1076,428.94,NaN,NaN,NaN
24/07/2020,1090,432.162,NaN,NaN,NaN
25/07/2020,968,435.023,NaN,NaN,NaN
26/07/2020,539,436.617,NaN,NaN,NaN
27/07/2020,1111,439.901,NaN,NaN,NaN
28/07/2020,1212,443.484,NaN,NaN,NaN
29/07/2020,1434,447.723,NaN,NaN,NaN
30/07/2020,1296,451.554,NaN,NaN,NaN
31/07/2020,1168,455.006,NaN,NaN,NaN
01/08/2020,1116,458.305,NaN,NaN,NaN
02/08/2020,465,459.68,NaN,NaN,NaN
03/08/2020,565,461.35,NaN,NaN,NaN
04/08/2020,1251,465.048,NaN,NaN,NaN
05/08/2020,1422,469.251,NaN,NaN,NaN
06/08/2020,1188,472.763,NaN,NaN,NaN
07/08/2020,1292,476.582,NaN,NaN,NaN
08/08/2020,1089,479.802,NaN,NaN,NaN
09/08/2020,577,481.507,NaN,NaN,NaN
10/08/2020,525,483.059,NaN,NaN,NaN
11/08/2020,1077,486.243,NaN,NaN,NaN
12/08/2020,1509,490.703,NaN,NaN,NaN
13/08/2020,1034,493.76,NaN,NaN,NaN
14/08/2020,1304,497.615,NaN,NaN,NaN
15/08/2020,1038,500.683,NaN,NaN,NaN
16/08/2020,615,502.501,NaN,NaN,NaN
17/08/2020,478,503.914,NaN,NaN,NaN
18/08/2020,1227,507.541,NaN,NaN,NaN
19/08/2020,685,509.566,NaN,NaN,NaN
20/08/2020,1100,512.818,NaN,NaN,NaN
21/08/2020,1095,516.054,NaN,NaN,NaN
22/08/2020,955,518.878,NaN,NaN,NaN
23/08/2020,506,520.373,NaN,NaN,NaN
24/08/2020,433,521.653,NaN,NaN,NaN
25/08/2020,1223,525.268,NaN,NaN,NaN
26/08/2020,1158,528.692,NaN,NaN,NaN
27/08/2020,1107,531.964,NaN,NaN,NaN
28/08/2020,922,534.689,NaN,NaN,NaN
29/08/2020,962,537.533,NaN,NaN,NaN
30/08/2020,440,538.834,NaN,NaN,NaN
31/08/2020,482,540.259,NaN,NaN,NaN
01/09/2020,1067,543.413,NaN,NaN,NaN
02/09/2020,1054,546.528,NaN,NaN,NaN
03/09/2020,1022,549.549,NaN,NaN,NaN
04/09/2020,951,552.361,NaN,NaN,NaN
05/09/2020,793,554.705,NaN,NaN,NaN
06/09/2020,436,555.994,NaN,NaN,NaN
07/09/2020,323,556.948,NaN,NaN,NaN
08/09/2020,473,558.347,NaN,NaN,NaN
09/09/2020,1100,561.598,NaN,NaN,NaN
10/09/2020,909,564.285,NaN,NaN,NaN
11/09/2020,1142,567.661,NaN,NaN,NaN
12/09/2020,737,569.84,NaN,NaN,NaN
13/09/2020,394,571.004,NaN,NaN,NaN
14/09/2020,421,572.249,NaN,NaN,NaN
15/09/2020,1191,575.77,NaN,NaN,NaN
16/09/2020,933,578.528,NaN,NaN,NaN
17/09/2020,850,581.04,NaN,NaN,NaN
18/09/2020,958,583.872,NaN,NaN,NaN
19/09/2020,666,585.841,NaN,NaN,NaN
20/09/2020,265,586.624,NaN,NaN,NaN
21/09/2020,412,587.842,NaN,NaN,NaN
22/09/2020,1021,590.86,NaN,NaN,NaN
23/09/2020,1051,593.967,NaN,NaN,NaN
24/09/2020,888,596.592,NaN,NaN,NaN
25/09/2020,914,599.294,NaN,NaN,NaN
26/09/2020,762,601.546,NaN,NaN,NaN
27/09/2020,304,602.445,NaN,NaN,NaN
28/09/2020,340,603.45,NaN,NaN,NaN
29/09/2020,894,606.093,NaN,NaN,NaN
30/09/2020,905,608.768,NaN,NaN,NaN
01/10/2020,896,611.417,NaN,NaN,NaN
02/10/2020,837,613.891,NaN,NaN,NaN
03/10/2020,672,615.877,NaN,NaN,NaN
04/10/2020,369,616.968,NaN,NaN,NaN
05/10/2020,475,618.372,NaN,NaN,NaN
06/10/2020,688,620.406,NaN,NaN,NaN
07/10/2020,906,623.084,NaN,NaN,NaN
08/10/2020,973,625.96,NaN,NaN,NaN
09/10/2020,962,628.804,NaN,NaN,NaN
10/10/2020,647,630.717,NaN,NaN,NaN
11/10/2020,463,632.085,NaN,NaN,NaN
12/10/2020,395,633.253,NaN,NaN,NaN
13/10/2020,740,635.44,NaN,NaN,NaN
14/10/2020,989,638.364,NaN,NaN,NaN
15/10/2020,840,640.847,NaN,NaN,NaN
16/10/2020,933,643.605,NaN,NaN,NaN
17/10/2020,789,645.937,NaN,NaN,NaN
18/10/2020,482,647.362,NaN,NaN,NaN
19/10/2020,511,648.873,NaN,NaN,NaN
20/10/2020,952,651.687,NaN,NaN,NaN
21/10/2020,1168,655.139,NaN,NaN,NaN
22/10/2020,861,657.685,NaN,NaN,NaN
23/10/2020,956,660.51,NaN,NaN,NaN
24/10/2020,972,663.384,NaN,NaN,NaN
25/10/2020,452,664.72,NaN,NaN,NaN
26/10/2020,557,666.366,NaN,NaN,NaN
27/10/2020,1022,669.387,NaN,NaN,NaN
28/10/2020,1042,672.468,NaN,NaN,NaN
29/10/2020,995,675.409,NaN,NaN,NaN
30/10/2020,1071,678.575,NaN,NaN,NaN
31/10/2020,939,681.351,NaN,NaN,NaN
01/11/2020,509,682.855,NaN,NaN,NaN
02/11/2020,598,684.623,NaN,NaN,NaN
03/11/2020,1625,689.427,NaN,NaN,NaN
04/11/2020,1118,692.731,NaN,NaN,NaN
05/11/2020,1191,696.252,NaN,NaN,NaN
06/11/2020,1219,699.855,NaN,NaN,NaN
07/11/2020,1126,703.184,NaN,NaN,NaN
08/11/2020,575,704.884,NaN,NaN,NaN
09/11/2020,803,707.257,NaN,NaN,NaN
10/11/2020,1440,711.514,NaN,NaN,NaN
11/11/2020,1462,715.836,NaN,NaN,NaN
12/11/2020,1242,719.507,NaN,NaN,NaN
13/11/2020,1228,723.137,NaN,NaN,NaN
14/11/2020,1369,727.184,NaN,NaN,NaN
15/11/2020,790,729.519,NaN,NaN,NaN
16/11/2020,877,732.112,NaN,NaN,NaN
17/11/2020,1746,737.273,NaN,NaN,NaN
18/11/2020,1939,743.005,NaN,NaN,NaN
19/11/2020,2014,748.958,NaN,NaN,NaN
20/11/2020,1976,754.799,NaN,NaN,NaN
21/11/2020,1631,759.621,NaN,NaN,NaN
22/11/2020,1076,762.801,NaN,NaN,NaN
23/11/2020,1140,766.171,NaN,NaN,NaN
24/11/2020,2187,772.636,NaN,NaN,NaN
25/11/2020,2258,779.311,NaN,NaN,NaN
26/11/2020,1393,783.429,NaN,NaN,NaN
27/11/2020,1620,788.218,NaN,NaN,NaN
28/11/2020,1409,792.383,NaN,NaN,NaN
29/11/2020,1048,795.481,NaN,NaN,NaN
30/11/2020,1378,799.554,NaN,NaN,NaN
01/12/2020,2561,807.124,NaN,NaN,NaN
02/12/2020,2777,815.333,NaN,NaN,NaN
03/12/2020,2908,823.93,NaN,NaN,NaN
04/12/2020,2666,831.81,NaN,NaN,NaN
05/12/2020,2393,838.884,NaN,NaN,NaN
06/12/2020,1420,843.082,NaN,NaN,NaN
07/12/2020,1642,847.936,NaN,NaN,NaN
08/12/2020,2600,855.621,NaN,NaN,NaN
09/12/2020,2947,864.333,NaN,NaN,NaN
10/12/2020,2915,872.95,NaN,NaN,NaN
11/12/2020,3335,882.808,NaN,NaN,NaN
12/12/2020,2505,890.213,NaN,NaN,NaN
13/12/2020,1596,894.931,0.01,34413,8973
14/12/2020,1696,899.944,0.01,39024,9128
15/12/2020,2901,908.52,0.03,85286,9444
16/12/2020,3683,919.407,0.07,240533,9950
17/12/2020,3418,929.511,0.15,508442,10758
18/12/2020,2929,938.169,0.28,919513,12052
19/12/2020,2736,946.257,0.33,1099092,13196
20/12/2020,1699,951.279,0.36,1203772,14000
21/12/2020,1827,956.68,0.48,1582638,15642
22/12/2020,3331,966.526,0.61,2024035,18714
23/12/2020,3311,976.314,0.78,2589519,21938
24/12/2020,2858,984.762,0.84,2782152,23165
25/12/2020,1498,989.19,0.84,2794750,23294
26/12/2020,1912,994.842,0.88,2934501,24343
27/12/2020,1431,999.072,0.91,3028317,25143
28/12/2020,1899,1004.686,1.09,3609828,29584
29/12/2020,3574,1015.251,1.3,4318303,35047
30/12/2020,3856,1026.649,1.55,5145741,42652
31/12/2020,3250,1036.256,1.67,5560740,46126
01/01/2021,2205,1042.774,1.71,5678482,54946
02/01/2021,2521,1050.227,1.79,5937532,58011
03/01/2021,1426,1054.442,1.83,6071132,60578
04/01/2021,2016,1060.401,2.01,6675847,106128
05/01/2021,3572,1070.96,2.23,7413203,194492
06/01/2021,3874,1082.412,2.48,8248431,369147
07/01/2021,3999,1094.233,2.75,9117936,652879
08/01/2021,4153,1106.51,3,9967666,1020361
09/01/2021,3202,1115.975,3.11,10339315,1150204
10/01/2021,2089,1122.15,3.17,10516533,1219976
11/01/2021,1857,1127.639,3.39,11241970,1546551
12/01/2021,4373,1140.566,3.66,12162729,1863593
13/01/2021,3987,1152.352,3.98,13197565,2136548
14/01/2021,3775,1163.511,4.32,14358539,2274012
15/01/2021,3816,1174.791,4.66,15481082,2396337
16/01/2021,3551,1185.288,4.83,16048576,2469399
17/01/2021,1982,1191.147,4.91,16304530,2511596
18/01/2021,1581,1195.821,5.1,16948549,2740712
19/01/2021,2403,1202.924,5.4,17916274,3100938
20/01/2021,4389,1215.898,5.75,19076826,3525122
21/01/2021,4103,1228.027,6.15,20414686,3803415
22/01/2021,3777,1239.192,6.57,21819657,4016020
23/01/2021,3523,1249.606,6.8,22563682,4169038
24/01/2021,1826,1255.004,6.89,22870895,4258398
25/01/2021,1782,1260.271,7.15,23735494,4751924
26/01/2021,3979,1272.033,7.47,24790148,5337488
27/01/2021,4064,1284.047,7.84,26039582,5989427
28/01/2021,3807,1295.3,8.26,27409034,6551707
29/01/2021,3563,1305.833,8.67,28784673,7051054
30/01/2021,2857,1314.278,8.9,29541118,7296125
31/01/2021,1931,1319.986,8.99,29863671,7425472
01/02/2021,1781,1325.251,9.23,30644846,8009787
02/02/2021,3536,1335.704,9.52,31612549,8714924
03/02/2021,3864,1347.126,9.9,32875293,9555469
04/02/2021,3883,1358.604,10.32,34262129,10474678
05/02/2021,3661,1369.426,10.73,35618153,11441741
06/02/2021,2727,1377.487,10.99,36471293,11866412
07/02/2021,1462,1381.809,11.07,36746289,12024290
08/02/2021,1450,1386.095,11.32,37584305,12734011
09/02/2021,3032,1395.058,11.63,38619597,13636431
10/02/2021,3361,1404.993,12,39849523,14680633
11/02/2021,3159,1414.332,12.39,41125711,15780187
12/02/2021,2838,1422.721,12.8,42511854,16945392
13/02/2021,2251,1429.375,13.07,43384296,17518977
14/02/2021,1151,1432.777,13.17,43727859,17750365
15/02/2021,947,1435.577,13.36,44344706,18295072
16/02/2021,1644,1440.436,13.6,45141297,19086721
17/02/2021,2407,1447.552,13.88,46076566,20081870
18/02/2021,2558,1455.113,14.13,46909348,21061490
19/02/2021,2516,1462.551,14.38,47727860,22163521
20/02/2021,1915,1468.211,14.55,48323563,22848165
21/02/2021,1210,1471.788,14.63,48578267,23174910
22/02/2021,1210,1475.365,14.82,49193179,23983362
23/02/2021,2258,1482.04,15.08,50056813,25017022
24/02/2021,3216,1491.546,15.45,51299902,26258668
25/02/2021,2413,1498.679,15.91,52834439,27609063
26/02/2021,2131,1504.979,16.42,54502159,29002531
27/02/2021,1513,1509.451,16.76,55638259,29825569
28/02/2021,1086,1512.661,16.92,56169206,30124931
01/03/2021,1317,1516.554,17.28,57384265,30935239
02/03/2021,1913,1522.209,17.72,58846800,31904637
03/03/2021,2522,1529.665,18.25,60587318,33039894
04/03/2021,1924,1535.352,18.84,62541166,34292699
05/03/2021,1714,1540.419,19.44,64545449,35612616
06/03/2021,1519,1544.909,19.85,65895274,36485007
07/03/2021,702,1546.984,20.05,66572308,36836579
08/03/2021,719,1549.109,20.5,68052798,37699742
09/03/2021,1761,1554.315,21.04,69863524,38795009
10/03/2021,1536,1558.855,21.67,71933733,40076956
11/03/2021,1542,1563.414,22.36,74226834,41489191
12/03/2021,1423,1567.62,23,76359964,43030507
13/03/2021,967,1570.479,23.42,77746085,44061506
14/03/2021,515,1572.001,23.61,78392332,44493559
15/03/2021,706,1574.088,24.06,79887320,45372577
16/03/2021,1251,1577.786,24.64,81819337,46434831
17/03/2021,1194,1581.316,25.28,83948176,47579359
18/03/2021,1631,1586.137,25.97,86238426,48796285
19/03/2021,1023,1589.161,26.64,88440828,50028406
20/03/2021,770,1591.437,27.06,89856525,50893727
21/03/2021,706,1593.524,27.27,90539169,51273979
22/03/2021,554,1595.162,27.75,92137681,52088269
23/03/2021,944,1597.952,28.35,94113115,53248693
24/03/2021,1462,1602.274,29.01,96314755,54681520
25/03/2021,1345,1606.25,29.69,98568148,56340070
26/03/2021,1156,1609.667,30.32,100653964,58151726
27/03/2021,805,1612.047,30.73,102022901,59321263
28/03/2021,442,1613.353,30.93,102693244,59874094
29/03/2021,636,1615.233,31.41,104296282,61157034
30/03/2021,891,1617.867,32.02,106303847,62826686
31/03/2021,1071,1621.033,32.74,108708846,64777256
01/04/2021,1100,1624.285,33.5,111232990,67043353
02/04/2021,892,1626.921,34.12,113274458,68872209
03/04/2021,756,1629.156,34.52,114597221,70035876
04/04/2021,313,1630.081,34.65,115034758,70408466
05/04/2021,466,1631.459,35.17,116766155,72015169
06/04/2021,832,1633.918,35.86,119046011,74103582
07/04/2021,2602,1641.61,36.63,121601379,76418027
08/04/2021,1012,1644.601,37.4,124158010,78950736
09/04/2021,903,1647.271,38.13,126586959,81402784
10/04/2021,760,1649.517,38.65,128308142,83067296
11/04/2021,292,1650.381,38.9,129140676,83872303
