year,country,value
2000,Austria,0.181919975
2001,Austria,0.175767491
2002,Austria,0.171767116
2003,Austria,0.207615887
2004,Austria,0.197120859
2005,Austria,0.236915446
2006,Austria,0.1902458
2007,Austria,0.149689016
2008,Austria,0.150460815
2009,Austria,0.19656637
2010,Austria,0.212224021
2011,Austria,0.250000964
2012,Austria,0.261839745
2013,Austria,0.194982215
2014,Austria,0.020671695
2015,Austria,0.029446801
2016,Austria,0.034241752
2017,Austria,0.01887504
2018,Austria,0.012778001
2019,Austria,0.017740096
2020,Austria,0.032454383
2000,Belgium,0.120682425
2001,Belgium,0.116545645
2002,Belgium,0.19301808
2003,Belgium,0.221742607
2004,Belgium,0.274210577
2005,Belgium,0.277160877
2006,Belgium,0.259261826
2007,Belgium,0.318218516
2008,Belgium,0.279598592
2009,Belgium,0.230144781
2010,Belgium,0.261490753
2011,Belgium,0.254891106
2012,Belgium,0.235534169
2013,Belgium,0.257441209
2014,Belgium,0.260487051
2015,Belgium,0.225766352
2016,Belgium,0.238966225
2017,Belgium,0.320018692
2018,Belgium,0.279072911
2019,Belgium,0.264183795
2020,Belgium,0.203588463
2000,Bulgaria,0.453892556
2001,Bulgaria,0.428390304
2002,Bulgaria,0.433714282
2003,Bulgaria,0.355394831
2004,Bulgaria,0.439193348
2005,Bulgaria,0.434118347
2006,Bulgaria,0.486639906
2007,Bulgaria,0.402810182
2008,Bulgaria,0.443463928
2009,Bulgaria,0.425166453
2010,Bulgaria,0.482277429
2011,Bulgaria,0.447692734
2012,Bulgaria,0.493448835
2013,Bulgaria,0.547910108
2014,Bulgaria,0.496324189
2015,Bulgaria,0.474032272
2016,Bulgaria,0.46527657
2017,Bulgaria,0.407492969
2018,Bulgaria,0.376199816
2019,Bulgaria,0.37725004
2020,Bulgaria,0.134335193
2000,Croatia,0.343416714
2001,Croatia,0.284493077
2002,Croatia,0.424701745
2003,Croatia,0.267727227
2004,Croatia,0.417704121
2005,Croatia,0.470222917
2006,Croatia,0.517924519
2007,Croatia,0.516994358
2008,Croatia,0.443610776
2009,Croatia,0.47551222
2010,Croatia,0.353910744
2011,Croatia,0.232974823
2012,Croatia,0.19711999
2013,Croatia,0.251001868
2014,Croatia,0.19925557
2015,Croatia,0.157449475
2016,Croatia,0.123896473
2017,Croatia,0.108502992
2018,Croatia,0.09282686
2019,Croatia,0.078428422
2020,Croatia,0.078705232
2000,Cyprus,0.290793475
2001,Cyprus,0.236119457
2002,Cyprus,0.625314105
2003,Cyprus,0.264432325
2004,Cyprus,0.035691928
2005,Cyprus,0.001697109
2006,Cyprus,0
2007,Cyprus,0
2008,Cyprus,0
2009,Cyprus,0
2010,Cyprus,0
2011,Cyprus,0.000915529
2012,Cyprus,0.000486922
2013,Cyprus,0.001691075
2014,Cyprus,0.002203447
2015,Cyprus,0.003222572
2016,Cyprus,0.001008139
2017,Cyprus,0.006786176
2018,Cyprus,0.009159948
2019,Cyprus,0.02416612
2020,Cyprus,0.016879202
2000,Czech Republic,0.258467882
2001,Czech Republic,0.236139054
2002,Czech Republic,0.228413113
2003,Czech Republic,0.226178268
2004,Czech Republic,0.215060826
2005,Czech Republic,0.250939922
2006,Czech Republic,0.243202687
2007,Czech Republic,0.218715282
2008,Czech Republic,0.241183185
2009,Czech Republic,0.233440303
2010,Czech Republic,0.251265767
2011,Czech Republic,0.269238576
2012,Czech Republic,0.250033687
2013,Czech Republic,0.260791395
2014,Czech Republic,0.229486269
2015,Czech Republic,0.245165695
2016,Czech Republic,0.247748658
2017,Czech Republic,0.265967565
2018,Czech Republic,0.251073681
2019,Czech Republic,0.280080701
2020,Czech Republic,0.236945552
2000,Denmark,0.044347835
2001,Denmark,0.066503196
2002,Denmark,0.04176484
2003,Denmark,0.038521165
2004,Denmark,0.070107817
2005,Denmark,0.06218285
2006,Denmark,0.065637288
2007,Denmark,0.077099707
2008,Denmark,0.089178134
2009,Denmark,0.093140356
2010,Denmark,0.059437758
2011,Denmark,0.095581913
2012,Denmark,0.056250713
2013,Denmark,0.099214261
2014,Denmark,0.10990397
2015,Denmark,0.132856894
2016,Denmark,0.170036993
2017,Denmark,0.119286887
2018,Denmark,0.100449057
2019,Denmark,0.105862008
2020,Denmark,0.092214799
2000,Estonia,0.168286889
2001,Estonia,0.165033202
2002,Estonia,0.150459076
2003,Estonia,0.150562062
2004,Estonia,0.159590351
2005,Estonia,0.162307977
2006,Estonia,0.17645852
2007,Estonia,0.155606065
2008,Estonia,0.152355291
2009,Estonia,0.133450958
2010,Estonia,0.111371209
2011,Estonia,0.097217074
2012,Estonia,0.157105229
2013,Estonia,0.117742466
2014,Estonia,0.103167427
2015,Estonia,0.10970058
2016,Estonia,0.093194638
2017,Estonia,0.102901905
2018,Estonia,0.099448958
2019,Estonia,0.113330076
2020,Estonia,0.0739873
2000,Finland,0.332586736
2001,Finland,0.335139451
2002,Finland,0.344418293
2003,Finland,0.429588096
2004,Finland,0.466840134
2005,Finland,0.420701936
2006,Finland,0.385839947
2007,Finland,0.445412185
2008,Finland,0.472115262
2009,Finland,0.512520064
2010,Finland,0.477690158
2011,Finland,0.498528047
2012,Finland,0.451889153
2013,Finland,0.488683531
2014,Finland,0.444505571
2015,Finland,0.43231751
2016,Finland,0.466774348
2017,Finland,0.455018421
2018,Finland,0.452349542
2019,Finland,0.469140404
2020,Finland,0.394511563
2000,France,0.065070616
2001,France,0.069609029
2002,France,0.078137544
2003,France,0.084562711
2004,France,0.081450309
2005,France,0.069331056
2006,France,0.065342431
2007,France,0.065319367
2008,France,0.0743853
2009,France,0.07416901
2010,France,0.07855646
2011,France,0.073491368
2012,France,0.070094364
2013,France,0.071345713
2014,France,0.054507404
2015,France,0.046699506
2016,France,0.065441694
2017,France,0.081118637
2018,France,0.078720626
2019,France,0.074810155
2020,France,0.052672264
2000,Germany,0.174840044
2001,Germany,0.170539102
2002,Germany,0.178317519
2003,Germany,0.187348532
2004,Germany,0.213115165
2005,Germany,0.22191649
2006,Germany,0.214296153
2007,Germany,0.215311215
2008,Germany,0.215252961
2009,Germany,0.209634967
2010,Germany,0.21141577
2011,Germany,0.222998032
2012,Germany,0.219926389
2013,Germany,0.22863957
2014,Germany,0.229997222
2015,Germany,0.25680051
2016,Germany,0.31112005
2017,Germany,0.315861599
2018,Germany,0.262973603
2019,Germany,0.265214039
2020,Germany,0.293788329
2000,Greece,0.226950239
2001,Greece,0.275257065
2002,Greece,0.398672161
2003,Greece,0.347885516
2004,Greece,0.288786282
2005,Greece,0.292489293
2006,Greece,0.276762804
2007,Greece,0.327511486
2008,Greece,0.326673
2009,Greece,0.30875147
2010,Greece,0.353609155
2011,Greece,0.265837288
2012,Greece,0.385741157
2013,Greece,0.431987685
2014,Greece,0.423741904
2015,Greece,0.415505881
2016,Greece,0.396495388
2017,Greece,0.383942596
2018,Greece,0.464294558
2019,Greece,0.346638247
2020,Greece,0.49680342
2000,Hungary,0.495868923
2001,Hungary,0.492635589
2002,Hungary,0.50318954
2003,Hungary,0.557627024
2004,Hungary,0.513209953
2005,Hungary,0.50694255
2006,Hungary,0.533230621
2007,Hungary,0.504184545
2008,Hungary,0.535281676
2009,Hungary,0.483688244
2010,Hungary,0.50913694
2011,Hungary,0.492000983
2012,Hungary,0.492868473
2013,Hungary,0.492105055
2014,Hungary,0.538314966
2015,Hungary,0.427605044
2016,Hungary,0.434962632
2017,Hungary,0.449924793
2018,Hungary,0.415195074
2019,Hungary,0.530926959
2020,Hungary,0.394313895
2000,Ireland,7.75E-05
2001,Ireland,0.000223566
2002,Ireland,0.000915435
2003,Ireland,0.000258613
2004,Ireland,0.000143474
2005,Ireland,0
2006,Ireland,0
2007,Ireland,0
2008,Ireland,0
2009,Ireland,0
2010,Ireland,0
2011,Ireland,0
2012,Ireland,0
2013,Ireland,0.000290111
2014,Ireland,0.000303574
2015,Ireland,7.14E-05
2016,Ireland,0.009068481
2017,Ireland,0.001331438
2018,Ireland,0.001668039
2019,Ireland,0.001208947
2020,Ireland,0.004388194
2000,Italy,0.203728818
2001,Italy,0.217151574
2002,Italy,0.219793233
2003,Italy,0.219024099
2004,Italy,0.233058716
2005,Italy,0.221882998
2006,Italy,0.196184412
2007,Italy,0.218298351
2008,Italy,0.199181619
2009,Italy,0.203874978
2010,Italy,0.163014367
2011,Italy,0.19001921
2012,Italy,0.187502587
2013,Italy,0.272119235
2014,Italy,0.238133944
2015,Italy,0.245725377
2016,Italy,0.232811395
2017,Italy,0.254890088
2018,Italy,0.253120328
2019,Italy,0.277603925
2020,Italy,0.242953691
2000,Latvia,0.334499756
2001,Latvia,0.301061216
2002,Latvia,0.321611398
2003,Latvia,0.371330495
2004,Latvia,0.44497169
2005,Latvia,0.382588222
2006,Latvia,0.370847648
2007,Latvia,0.325862016
2008,Latvia,0.286883883
2009,Latvia,0.370698535
2010,Latvia,0.268996118
2011,Latvia,0.393308667
2012,Latvia,0.366606329
2013,Latvia,0.384222206
2014,Latvia,0.240847631
2015,Latvia,0.32415621
2016,Latvia,0.294003583
2017,Latvia,0.306359372
2018,Latvia,0.315537636
2019,Latvia,0.30560271
2020,Latvia,0.256916739
2000,Lithuania,0.954107702
2001,Lithuania,1.057383181
2002,Lithuania,0.968043689
2003,Lithuania,1.046443521
2004,Lithuania,1.145061038
2005,Lithuania,1.309399088
2006,Lithuania,1.25878301
2007,Lithuania,0.910705296
2008,Lithuania,1.234749482
2009,Lithuania,1.233466961
2010,Lithuania,1.676124913
2011,Lithuania,1.634084248
2012,Lithuania,1.566320152
2013,Lithuania,1.660275421
2014,Lithuania,1.301578711
2015,Lithuania,1.320426967
2016,Lithuania,1.28036322
2017,Lithuania,1.070841613
2018,Lithuania,1.052058471
2019,Lithuania,1.177010434
2020,Lithuania,0.940705343
2000,Luxembourg,0
2001,Luxembourg,0
2002,Luxembourg,0
2003,Luxembourg,0
2004,Luxembourg,0
2005,Luxembourg,0
2006,Luxembourg,0
2007,Luxembourg,0.064042982
2008,Luxembourg,0.060951659
2009,Luxembourg,0.067390106
2010,Luxembourg,0.067959087
2011,Luxembourg,0.059276687
2012,Luxembourg,0.061512411
2013,Luxembourg,0.05741688
2014,Luxembourg,0.056665603
2015,Luxembourg,0.053035829
2016,Luxembourg,0.049540878
2017,Luxembourg,0.051004881
2018,Luxembourg,0.048572515
2019,Luxembourg,0.047929339
2020,Luxembourg,0.050326448
2000,Malta,0
2001,Malta,0
2002,Malta,0
2003,Malta,0
2004,Malta,0
2005,Malta,0
2006,Malta,0
2007,Malta,0
2008,Malta,0
2009,Malta,0
2010,Malta,0
2011,Malta,0
2012,Malta,0
2013,Malta,0
2014,Malta,0
2015,Malta,0
2016,Malta,0
2017,Malta,0
2018,Malta,0
2019,Malta,0
2020,Malta,0
2000,Netherlands,0.082488895
2001,Netherlands,0.117590593
2002,Netherlands,0.135469827
2003,Netherlands,0.170978634
2004,Netherlands,0.233669223
2005,Netherlands,0.302741735
2006,Netherlands,0.330378403
2007,Netherlands,0.306772851
2008,Netherlands,0.31549968
2009,Netherlands,0.316923616
2010,Netherlands,0.308771571
2011,Netherlands,0.303646613
2012,Netherlands,0.310898311
2013,Netherlands,0.329098463
2014,Netherlands,0.353754271
2015,Netherlands,0.433550871
2016,Netherlands,0.559184288
2017,Netherlands,0.614428778
2018,Netherlands,0.736511562
2019,Netherlands,0.550264619
2020,Netherlands,0.462024734
2000,Poland,0.264087182
2001,Poland,0.263594234
2002,Poland,0.280698184
2003,Poland,0.270731253
2004,Poland,0.25873768
2005,Poland,0.275940716
2006,Poland,0.291599155
2007,Poland,0.29300707
2008,Poland,0.301929879
2009,Poland,0.333407695
2010,Poland,0.355387354
2011,Poland,0.369716099
2012,Poland,0.381130664
2013,Poland,0.365650202
2014,Poland,0.371385609
2015,Poland,0.37066047
2016,Poland,0.350032571
2017,Poland,0.348572297
2018,Poland,0.364275666
2019,Poland,0.337202548
2020,Poland,0.330746007
2000,Portugal,0.013981717
2001,Portugal,0.052530702
2002,Portugal,0.022862291
2003,Portugal,0.059274431
2004,Portugal,0.031640918
2005,Portugal,0
2006,Portugal,0.00598207
2007,Portugal,0.003159804
2008,Portugal,0.000558583
2009,Portugal,0.001883484
2010,Portugal,0.005921194
2011,Portugal,0.018954115
2012,Portugal,0.018004881
2013,Portugal,0.075527347
2014,Portugal,0.062507285
2015,Portugal,0.069146329
2016,Portugal,0.1419011
2017,Portugal,0.184960287
2018,Portugal,0.141108352
2019,Portugal,0.08750629
2020,Portugal,0.057263842
2000,Romania,0.198331456
2001,Romania,0.182634868
2002,Romania,0.21086486
2003,Romania,0.232756823
2004,Romania,0.106235438
2005,Romania,0.26270543
2006,Romania,0.2397676
2007,Romania,0.237727886
2008,Romania,0.178706608
2009,Romania,0.12520104
2010,Romania,0.13632761
2011,Romania,0.108796063
2012,Romania,0.106735504
2013,Romania,0.123847419
2014,Romania,0.109635945
2015,Romania,0.123893862
2016,Romania,0.167179339
2017,Romania,0.161183778
2018,Romania,0.164449427
2019,Romania,0.159670157
2020,Romania,0.130032341
2000,Slovakia,0.381817198
2001,Slovakia,0.652056453
2002,Slovakia,0.66478518
2003,Slovakia,0.653159652
2004,Slovakia,0.680507445
2005,Slovakia,0.679157627
2006,Slovakia,0.660116727
2007,Slovakia,0.699122313
2008,Slovakia,0.660870226
2009,Slovakia,0.68993131
2010,Slovakia,0.630513102
2011,Slovakia,0.67080779
2012,Slovakia,0.60941533
2013,Slovakia,0.645009863
2014,Slovakia,0.620398703
2015,Slovakia,0.635118805
2016,Slovakia,0.607134148
2017,Slovakia,0.581976784
2018,Slovakia,0.588034368
2019,Slovakia,0.68382203
2020,Slovakia,0.569898134
2000,Slovenia,0.082408272
2001,Slovenia,0.073192164
2002,Slovenia,0.070258865
2003,Slovenia,0.077706248
2004,Slovenia,0.075196323
2005,Slovenia,0.076794678
2006,Slovenia,0.064593835
2007,Slovenia,0.064180735
2008,Slovenia,0.055965569
2009,Slovenia,0.060064647
2010,Slovenia,0.058328741
2011,Slovenia,0.053215039
2012,Slovenia,0.047086458
2013,Slovenia,0.062548739
2014,Slovenia,0.038031577
2015,Slovenia,0.033267099
2016,Slovenia,0.036649868
2017,Slovenia,0.02462705
2018,Slovenia,0.03286612
2019,Slovenia,0.01354926
2020,Slovenia,0.011945586
2000,Spain,0.054438929
2001,Spain,0.054692413
2002,Spain,0.075931428
2003,Spain,0.08708199
2004,Spain,0.081573441
2005,Spain,0.084752439
2006,Spain,0.1052084
2007,Spain,0.114016571
2008,Spain,0.08306591
2009,Spain,0.087931433
2010,Spain,0.0744996
2011,Spain,0.087936655
2012,Spain,0.089172263
2013,Spain,0.090214257
2014,Spain,0.087483337
2015,Spain,0.0693146
2016,Spain,0.066697248
2017,Spain,0.058126423
2018,Spain,0.041842824
2019,Spain,0.066472005
2020,Spain,0.07239609
2000,Sweden,0.032985793
2001,Sweden,0.024271464
2002,Sweden,0.075867204
2003,Sweden,0.080264452
2004,Sweden,0.109408403
2005,Sweden,0.151737326
2006,Sweden,0.152072198
2007,Sweden,0.130989966
2008,Sweden,0.155886288
2009,Sweden,0.169078524
2010,Sweden,0.183975405
2011,Sweden,0.206121183
2012,Sweden,0.184229999
2013,Sweden,0.150241263
2014,Sweden,0.193485677
2015,Sweden,0.215742667
2016,Sweden,0.200843311
2017,Sweden,0.171649551
2018,Sweden,0.167016965
2019,Sweden,0.119276328
2020,Sweden,0.058503741
